"","SecId","X","Date","diff20","bin.diff20","ksvm","nnet","rf","ada","ksvm.prob.0","ksvm.prob.1","nnet.prob","rf.prob.0","rf.prob.1","ada.prob.1","ada.prob.2","votes","voted","all.prob","voted.prob","type","sector","PriceToday","PriceForward20Days"
"57",360,57,"2009-12-01",6.6233754,0,0,0,0,0,0.948008592010809,0.0519914079891914,4.74434961424656e-05,0.696,0.304,0.993597295204205,0.00640270479579522,0,0,0.0906103890702823,0,"test","Financials",25.41,24.63
"58",362,58,"2009-12-01",6.3164115,0,0,1,0,0,0.879880773511757,0.120119226488243,0.998513126557985,0.814,0.186,0.998324915692514,0.00167508430748552,1,0,0.326576859338428,0,"test","Financials",16.78,18.01
"59",366,59,"2009-12-01",8.433235,0,0,0,0,0,0.961167696617682,0.0388323033823182,0,0.794,0.206,0.999168676884532,0.000831323115468382,0,0,0.0614159066244467,0,"test","Financials",23.65,26.23
"60",369,60,"2009-12-01",-2.0791113,0,0,0,0,0,0.913900156431243,0.086099843568757,0,0.812,0.188,0.997298450531036,0.00270154946896399,0,0,0.0692003482594302,0,"test","Financials",56.24,53.22
"61",376,61,"2009-12-01",5.9511423,0,0,0,0,0,0.834722862646773,0.165277137353227,0,0.772,0.228,0.990262406519336,0.00973759348066379,0,0,0.100753682708473,0,"test","Financials",49.73,50.74
"62",377,62,"2009-12-01",7.3405266,0,0,0,0,0,0.913661824708348,0.0863381752916518,0,0.848,0.152,0.999178959356157,0.000821040643842587,0,0,0.0597898039838736,0,"test","Financials",79.91,82.62
"63",389,63,"2009-12-01",-3.5971165,0,1,1,1,1,0.360152348943132,0.639847651056868,1,0.436,0.564,0.0629332038004111,0.937066796199589,4,1,0.785228611814114,1,"test","Financials",5.78,5.36
"64",402,64,"2009-12-01",1.3970971,0,0,0,0,0,0.688872124680854,0.311127875319146,0.000504052164808524,0.58,0.42,0.995993470238172,0.00400652976182823,0,0,0.183909614311446,0,"test","Financials",18.05,18.87
"65",409,65,"2009-12-01",4.3557167,0,0,0,0,0,0.871210030246188,0.128789969753812,0,0.642,0.358,0.981332863742252,0.018667136257748,0,0,0.12636427650289,0,"test","Financials",11.25,11.5
"66",414,66,"2009-12-01",9.270107,1,0,0,0,0,0.894064669286661,0.105935330713339,0,0.854,0.146,0.998931110473059,0.00106888952694084,0,0,0.0632510550600699,0,"test","Financials",73.83,82.04
"67",418,67,"2009-12-01",-7.387394,0,0,0,1,1,0.607278067990059,0.392721932009941,1.5519742039879e-06,0.444,0.556,0.080048253867774,0.919951746132226,2,0,0.467168807529093,0,"test","Financials",23.2,20.56
"68",420,68,"2009-12-01",7.2195053,0,0,1,0,0,0.624780238593148,0.375219761406851,0.999978223371283,0.57,0.43,0.623764929676081,0.376235070323919,1,0,0.545358263775513,1,"test","Financials",42.72,43.96
"69",439,69,"2009-12-01",0.64234734,0,0,1,0,0,0.882181567926527,0.117818432073473,1,0.704,0.296,0.94465070274512,0.0553492972548806,1,0,0.367291932332088,0,"test","Financials",19.333334,19.497778
"70",442,70,"2009-12-01",10.068083,1,0,0,0,0,0.937771060528518,0.062228939471482,0,0.802,0.198,0.996826798594167,0.00317320140583317,0,0,0.0658505352193288,0,"test","Financials",48.61,53.35
"71",443,71,"2009-12-01",-0.45908093,0,0,0,0,0,0.954397191891531,0.0456028081084692,0.0186892102801156,0.91,0.09,0.999445234383667,0.000554765616333644,0,0,0.0387116960012296,0,"test","Financials",52.6,49.87
"72",454,72,"2009-12-01",7.8326225,0,0,0,0,0,0.830158127787807,0.169841872212193,0.000964058330064276,0.51,0.49,0.576577272002294,0.423422727997706,0,0,0.271057164634991,0,"test","Financials",19.02,20.1
"73",458,73,"2009-12-01",-2.227074,0,0,0,0,0,0.836370810164519,0.163629189835481,4.50484498704956e-05,0.728,0.272,0.951697495694419,0.0483025043055809,0,0,0.120994185647733,0,"test","Financials",24.34,22.39
"74",466,74,"2009-12-01",3.328514,0,0,0,0,0,0.936499697552725,0.063500302447275,0,0.838,0.162,0.998602216344754,0.00139778365524615,0,0,0.0567245215256303,0,"test","Financials",66.82,71.4
"75",469,75,"2009-12-01",-0.04569292,0,0,0,0,0,0.942432382405611,0.0575676175943893,0,0.866,0.134,0.999646471407443,0.000353528592557047,0,0,0.0479802865467366,0,"test","Financials",43.3,43.75
"76",475,76,"2009-12-01",2.7734995,0,0,0,0,0,0.797183165881105,0.202816834118895,0,0.752,0.248,0.954175120620097,0.045824879379903,0,0,0.124160428374699,0,"test","Financials",27.99,26.68
"77",485,77,"2009-12-01",5.0633073,0,0,0,0,0,0.820440463782301,0.179559536217699,0,0.702,0.298,0.997805197708236,0.00219480229176378,0,0,0.119938584627366,0,"test","Financials",15.987331,17.369295
"78",490,78,"2009-12-01",4.1433334,0,0,1,0,0,0.665450788472109,0.334549211527891,0.999998142988577,0.65,0.35,0.994953809177542,0.00504619082245775,1,0,0.422398386334731,0,"test","Financials",18.15,18.6
"79",498,79,"2009-12-01",-8.798277,0,0,0,1,0,0.668876647223086,0.331123352776914,0,0.49,0.51,0.684058657866654,0.315941342133346,1,0,0.289266173727565,0,"test","Financials",13.16,12.75
"80",503,80,"2009-12-01",5.728197,0,0,0,0,0,0.931627345605885,0.0683726543941146,0,0.824,0.176,0.999520256536997,0.000479743463002745,0,0,0.0612130994642793,0,"test","Financials",27,28.24
"81",510,81,"2009-12-01",11.862909,1,0,1,0,0,0.787786466139631,0.212213533860369,0.8108403982772,0.642,0.358,0.84235565578006,0.157644344219941,1,0,0.384674569089377,0,"test","Financials",10.49,12.73
"82",511,82,"2009-12-01",7.1641684,0,0,0,0,0,0.853404911791492,0.146595088208508,5.45258526260051e-06,0.676,0.324,0.972894797246839,0.0271052027531611,0,0,0.124426435886733,0,"test","Financials",24.44,25.13
"83",513,83,"2009-12-01",-0.347358,0,0,0,0,0,0.925684913757296,0.0743150862427042,0.0124812128600405,0.764,0.236,0.995030730471433,0.00496926952856658,0,0,0.0819413921578278,0,"test","Financials",26.03,25.82
