X,RRC_DJI,RRC_DJV,RRC_S.P,RRC_FTSE,RRC_IMO_FTV,RRC_IMO_STI,RRC_IMO_STIV,SGPRIME,UKPRIME,USPRIME,IMO_USINF,IMO_UKINF,IMO_SGINF,SG.D,P.D
05-Oct-88,-0.964626888,-0.727857395,-0.966032368,-1.095507828,-0.790164064,-1.397917968,-0.675384217,5.25,13,10,4.27,6.41,1.5,0.4906,1.6965
12-Oct-88,-0.953837827,-0.921417446,-0.955964722,-1.10734794,-0.695113366,-1.373955193,-0.82015564,5.25,13,10,4.27,6.41,1.5,0.4917,1.733
19-Oct-88,-0.947806233,-0.777421376,-0.941765542,-1.059790157,-0.711060911,-1.34132225,-0.832755949,5.25,13,10,4.27,6.41,1.5,0.4957,1.7501
26-Oct-88,-0.932544059,-0.452360784,-0.920822939,-1.071432934,-0.84391551,-1.288909125,-0.754015507,5.25,13,10,4.27,6.41,1.5,0.499,1.761
02-Nov-88,-0.937110134,-0.611430286,-0.931840362,-1.078833004,-0.902522999,-1.317446612,-0.816745131,5.25,13,10,4.2,6.38,1.38,0.4997,1.7875
09-Nov-88,-0.95821251,-0.722716057,-0.9590515,-1.096099834,-0.918664037,-1.325419681,-0.859884912,5.25,13,10,4.2,6.38,1.38,0.5083,1.7974
16-Nov-88,-1.001773412,-0.810959885,-1.00421344,-1.114254672,-0.738355868,-1.386219777,-0.675384217,5.25,13,10,4.2,6.38,1.38,0.5141,1.83
23-Nov-88,-0.972408355,-1.053942396,-0.979614192,-1.084851728,-0.956904856,-1.365110751,-0.83577581,5.25,13,10,4.2,6.38,1.38,0.5147,1.837
30-Nov-88,-0.960252205,-1.308468394,-0.957294411,-1.128956145,-0.857168721,-1.371101444,-0.864358213,5.25,14,10.5,4.2,6.38,1.38,0.5136,1.8505
07-Dec-88,-0.938860007,-0.846561682,-0.93625683,-1.149380338,-0.867292759,-1.385261266,-0.858264873,5.25,14,10.5,4.42,6.78,1.49,0.5138,1.84
14-Dec-88,-0.949457676,-1.504336176,-0.949648698,-1.164772484,-0.87412118,-1.380229083,-0.808507056,5.25,14,10.5,4.42,6.78,1.49,0.5157,1.8315
21-Dec-88,-0.932839351,-0.687384433,-0.939818497,-1.14849233,-0.963392064,-1.351669812,-0.675384217,5.25,14,10.5,4.42,6.78,1.49,0.5134,1.8065
28-Dec-88,-0.931860515,-1.500363982,-0.941243164,-1.133593522,-1.146072079,-1.280827134,-0.675384217,5.25,14,10.5,4.42,6.78,1.49,0.5138,1.7885
04-Jan-89,-0.925708618,-1.243375867,-0.930083273,-1.128364139,-1.146072079,-1.316204904,-0.675384217,5.25,14,10.5,4.67,7.45,1.61,0.5154,1.8095
11-Jan-89,-0.909987102,-0.787823058,-0.917831138,-1.087811756,-0.620346114,-1.196608871,-0.675384217,5.25,14,10.5,4.67,7.45,1.61,0.5154,1.7835
18-Jan-89,-0.892313385,-0.777188191,-0.896366157,-1.030584548,-0.654929296,-1.177395082,-0.487463438,5.25,14,10.5,4.67,7.45,1.61,0.5138,1.7523
25-Jan-89,-0.877472274,-0.376234562,-0.883971555,-0.984309443,0.187492239,-1.162189611,-0.675384217,5.25,14,10.5,4.67,7.45,1.61,0.5161,1.77
01-Feb-89,-0.837925143,0.413095153,-0.846217883,-0.88495117,0.681462512,-1.084593788,-0.307290509,5.25,14,10.5,4.83,7.81,0.91,0.517,1.7545
08-Feb-89,-0.835190967,-0.426190938,-0.838809615,-0.829203976,-0.468949502,-1.052374747,-0.675384217,5.25,14,10.5,4.83,7.81,0.91,0.5194,1.743
15-Feb-89,-0.856670658,-1.040999796,-0.859752218,-0.877255097,-0.746782164,-1.116072161,-0.362622717,5.25,14,11,4.83,7.81,0.91,0.5198,1.7747
22-Feb-89,-0.867607365,-0.936942776,-0.875566021,-0.890871226,-0.828625424,-1.080803312,-0.56765732,5.5,14,11,4.83,7.81,0.91,0.5193,1.7457
01-Mar-89,-0.889967461,-0.754721974,-0.893611801,-0.903106008,-0.755747327,-1.15264807,-0.441520184,5.5,14,11.5,4.98,7.88,1.26,0.5174,1.7225
08-Mar-89,-0.861258607,-0.760265356,-0.860512041,-0.841932096,-0.767438032,-1.084702709,-0.526993557,5.5,14,11.5,4.98,7.88,1.26,0.5169,1.7208
15-Mar-89,-0.847587723,-0.738497087,-0.848212416,-0.804537076,-0.812224315,-0.991138963,-0.257086512,5.5,14,11.5,4.98,7.88,1.26,0.5165,1.72
22-Mar-89,-0.878937793,-0.303885945,-0.877560554,-0.876169754,-0.764756181,-0.983449091,-0.675384217,5.5,14,11.5,4.98,7.88,1.26,0.5155,1.725
29-Mar-89,-0.868925238,-1.107045972,-0.86872762,-0.853377538,-1.146072079,-0.959072413,-0.675384217,5.5,14,11.5,4.98,7.88,1.26,0.5112,1.6865
05-Apr-89,-0.856194911,-0.83620503,-0.850254439,-0.846964144,-0.838422813,-0.966413736,-0.194159649,5.5,14,11.5,5.12,8.03,1.95,0.5128,1.701
12-Apr-89,-0.848074407,-0.927547812,-0.837194993,-0.891561899,-0.939825483,-0.905940405,0.145142928,5.5,14,11.5,5.12,8.03,1.95,0.5105,1.691
19-Apr-89,-0.811294263,-0.953793243,-0.798444053,-0.838281395,-0.817762784,-0.823530242,-0.675384217,5.5,14,11.5,5.12,8.03,1.95,0.5137,1.711
26-Apr-89,-0.810096694,-0.788490451,-0.799488809,-0.831966669,-1.031147805,-0.837777201,-0.023293331,5.5,14,11.5,5.12,8.03,1.95,0.5142,1.69
03-May-89,-0.807581251,-0.503467005,-0.793647675,-0.819830554,-1.146072079,-0.762490517,-0.030993307,5.5,14,11.5,5.36,8.29,2.4,0.512,1.682
10-May-89,-0.818107831,-0.831427139,-0.804855054,-0.808681115,-0.967097553,-0.771639941,0.24399599,5.5,14,11.5,5.36,8.29,2.4,0.5109,1.676
17-May-89,-0.769997259,-0.386137709,-0.749388024,-0.770398086,-0.950469663,-0.707702899,-0.026267234,5.5,14,11.5,5.36,8.29,2.4,0.508,1.615
24-May-89,-0.75827311,0.065801529,-0.741504867,-0.793190302,-0.403313858,-0.771857784,-0.141625169,5.5,15,11.5,5.36,8.29,2.4,0.512,1.568
31-May-89,-0.760307337,-0.981035742,-0.734951399,-0.811246473,-1.146072079,-0.774755101,-0.384213672,5.5,15,11.5,5.36,8.29,2.4,0.512,1.574
07-Jun-89,-0.742715645,0.58371779,-0.704416039,-0.807793107,-0.739404474,-0.889122893,-0.675384217,5.5,15,11,5.17,8.26,2.86,0.5133,1.5785
14-Jun-89,-0.747615289,-0.569612888,-0.719232575,-0.792302294,-0.760647062,-0.732863813,-0.164631265,5.5,15,11,5.17,8.26,2.86,0.5081,1.5135
21-Jun-89,-0.768641108,-0.445062882,-0.735141355,-0.7542166,-0.915674262,-0.72452041,-0.292143329,5.5,15,11,5.17,8.26,2.86,0.5102,1.5565
28-Jun-89,-0.746860657,-1.244068991,-0.709829773,-0.717512253,-0.695816597,-0.711144825,-0.131347683,5.5,15,11,5.17,8.26,2.86,0.5104,1.56
05-Jul-89,-0.773207183,-1.1529803,-0.734381533,-0.763392687,-1.104036305,-0.718616854,0.179119718,5.5,15,11,4.98,8.25,2.38,0.5096,1.624
12-Jul-89,-0.73160942,-0.942283528,-0.690834215,-0.670842478,-0.295005788,-0.612483543,0.303841713,5.5,15,10.75,4.98,8.25,2.38,0.5115,1.6245
19-Jul-89,-0.703294286,-0.734595652,-0.662720788,-0.635519477,-0.133181375,-0.579175285,-0.675384217,5.5,15,10.75,4.98,8.25,2.38,0.5102,1.6135
26-Jul-89,-0.687632923,-0.31280328,-0.651703364,-0.663146405,-0.94227639,-0.576277968,0.274849513,5.5,15,10.75,4.98,8.25,2.38,0.5109,1.6565
02-Aug-89,-0.663358903,-0.238643857,-0.621832849,-0.620423334,-0.750464767,-0.593879716,0.013042667,5.5,15,10.5,4.71,7.32,2.61,0.514,1.6575
09-Aug-89,-0.647697539,-0.380702074,-0.609485736,-0.568524177,-0.270675638,-0.594990717,-0.675384217,5.5,15,10.5,4.71,7.32,2.61,0.5122,1.625
16-Aug-89,-0.643754856,-0.543248452,-0.615564315,-0.582929646,-0.627904813,-0.561137851,0.175609632,5.5,15,10.5,4.71,7.32,2.61,0.5115,1.581
23-Aug-89,-0.652055817,-0.74413696,-0.620123249,-0.546817305,-0.777401867,-0.562357774,0.057789083,5.5,15,10.5,4.71,7.32,2.61,0.5091,1.573
30-Aug-89,-0.624692177,-0.695433353,-0.591867355,-0.547902648,-1.146072079,-0.620151631,-0.286279781,5.5,15,10.5,4.71,7.32,2.61,0.5089,1.577
06-Sep-89,-0.62926372,-0.939086474,-0.59856329,-0.538529226,-0.837578103,-0.518919797,-0.081279647,5.5,15,10.5,4.34,7.56,2.5,0.5062,1.5505
13-Sep-89,-0.651284779,-0.621640594,-0.616514092,-0.527971793,-0.836055128,-0.466985928,-0.055372416,5.5,15,10.5,4.34,7.56,2.5,0.505,1.56
20-Sep-89,-0.648895108,-0.635649415,-0.611717714,-0.559249422,-0.800042596,-0.52264492,-0.312204246,5.5,15,10.5,4.34,7.56,2.5,0.5053,1.5825
