"True Negative","False Negative","False Positive","True Positive","Mean Of Bought Returns","Models","Date","Sector"
64,13,1,4,19.0917134,"PCA_nnet",2009-05-03,"Health Care"
65,14,0,3,28.895283,"PCA_rf",2009-05-03,"Health Care"
65,15,0,2,37.7677025,"PCA_ada",2009-05-03,"Health Care"
65,15,0,2,37.7677025,"PCA_voted",2009-05-03,"Health Care"
65,14,0,3,28.895283,"PCA_voted.prob",2009-05-03,"Health Care"
65,0,0,17,13.1054623529412,"actual",2009-06-01,"Health Care"
64,11,1,6,12.2116469857143,"ksvm",2009-06-01,"Health Care"
62,10,3,7,11.230669,"nnet",2009-06-01,"Health Care"
61,2,4,15,12.2266020631579,"rf",2009-06-01,"Health Care"
64,9,1,8,12.0438546444444,"ada",2009-06-01,"Health Care"
65,12,0,5,13.499491,"voted",2009-06-01,"Health Care"
64,10,1,7,12.67145575,"voted.prob",2009-06-01,"Health Care"
65,12,0,5,13.499491,"PCA_ksvm",2009-06-01,"Health Care"
63,8,2,9,12.9048540363636,"PCA_nnet",2009-06-01,"Health Care"
57,9,8,8,9.5854672625,"PCA_rf",2009-06-01,"Health Care"
65,11,0,6,15.0466161666667,"PCA_ada",2009-06-01,"Health Care"
65,12,0,5,14.1794036,"PCA_voted",2009-06-01,"Health Care"
65,11,0,6,14.7635735,"PCA_voted.prob",2009-06-01,"Health Care"
65,0,0,17,25.4266633529412,"actual",2009-07-01,"Health Care"
62,15,3,2,21.4886284,"ksvm",2009-07-01,"Health Care"
40,2,25,15,17.771879415,"nnet",2009-07-01,"Health Care"
35,1,30,16,17.4256537065217,"rf",2009-07-01,"Health Care"
54,8,11,9,19.378989825,"ada",2009-07-01,"Health Care"
54,8,11,9,19.378989825,"voted",2009-07-01,"Health Care"
48,3,17,14,19.377031983871,"voted.prob",2009-07-01,"Health Care"
61,14,4,3,20.0884547142857,"PCA_ksvm",2009-07-01,"Health Care"
37,3,28,14,17.5585009166667,"PCA_nnet",2009-07-01,"Health Care"
48,6,17,11,18.5750953571429,"PCA_rf",2009-07-01,"Health Care"
61,10,4,7,20.4991058181818,"PCA_ada",2009-07-01,"Health Care"
60,10,5,7,20.2806959166667,"PCA_voted",2009-07-01,"Health Care"
53,6,12,11,20.5419954782609,"PCA_voted.prob",2009-07-01,"Health Care"
65,0,0,17,11.4437072941176,"actual",2009-08-02,"Health Care"
64,15,1,2,17.674482,"ksvm",2009-08-02,"Health Care"
61,12,4,5,11.7547158711111,"nnet",2009-08-02,"Health Care"
64,10,1,7,14.712913,"rf",2009-08-02,"Health Care"
64,13,1,4,16.3759992,"ada",2009-08-02,"Health Care"
64,13,1,4,16.3759992,"voted",2009-08-02,"Health Care"
64,12,1,5,16.204478,"voted.prob",2009-08-02,"Health Care"
63,15,2,2,14.6189929,"PCA_ksvm",2009-08-02,"Health Care"
61,11,4,6,11.712139663,"PCA_nnet",2009-08-02,"Health Care"
64,13,1,4,17.169163,"PCA_rf",2009-08-02,"Health Care"
64,13,1,4,17.5752828,"PCA_ada",2009-08-02,"Health Care"
64,13,1,4,17.5752828,"PCA_voted",2009-08-02,"Health Care"
64,13,1,4,17.5752828,"PCA_voted.prob",2009-08-02,"Health Care"
65,0,0,17,11.9725214764706,"actual",2009-09-01,"Health Care"
60,11,5,6,9.85618856818182,"ksvm",2009-09-01,"Health Care"
61,5,4,12,10.785346628125,"nnet",2009-09-01,"Health Care"
61,4,4,13,11.1358090117647,"rf",2009-09-01,"Health Care"
62,3,3,14,11.3809432764706,"ada",2009-09-01,"Health Care"
63,6,2,11,12.5891623230769,"voted",2009-09-01,"Health Care"
62,5,3,12,11.56399743,"voted.prob",2009-09-01,"Health Care"
62,11,3,6,11.7006198277778,"PCA_ksvm",2009-09-01,"Health Care"
58,8,7,9,9.37634388125,"PCA_nnet",2009-09-01,"Health Care"
61,6,4,11,11.28508903,"PCA_rf",2009-09-01,"Health Care"
61,8,4,9,11.7634600346154,"PCA_ada",2009-09-01,"Health Care"
61,8,4,9,11.7634600346154,"PCA_voted",2009-09-01,"Health Care"
60,8,5,9,10.5571987178571,"PCA_voted.prob",2009-09-01,"Health Care"
65,0,0,17,3.10840396941176,"actual",2009-10-01,"Health Care"
62,16,3,1,-5.123647925,"ksvm",2009-10-01,"Health Care"
62,13,3,4,-0.2034731,"nnet",2009-10-01,"Health Care"
65,14,0,3,6.854713,"rf",2009-10-01,"Health Care"
65,14,0,3,4.74185153333333,"ada",2009-10-01,"Health Care"
65,15,0,2,6.4888955,"voted",2009-10-01,"Health Care"
65,14,0,3,6.854713,"voted.prob",2009-10-01,"Health Care"
62,17,3,0,-8.23120656666667,"PCA_ksvm",2009-10-01,"Health Care"
63,12,2,5,1.44209615714286,"PCA_nnet",2009-10-01,"Health Care"
65,14,0,3,4.74185153333333,"PCA_rf",2009-10-01,"Health Care"
65,14,0,3,4.25686443333333,"PCA_ada",2009-10-01,"Health Care"
65,15,0,2,4.5185328,"PCA_voted",2009-10-01,"Health Care"
65,14,0,3,4.74185153333333,"PCA_voted.prob",2009-10-01,"Health Care"
65,0,0,17,7.65047351764706,"actual",2009-11-01,"Health Care"
62,9,3,8,7.68357452727273,"ksvm",2009-11-01,"Health Care"
60,7,5,10,5.80454549333333,"nnet",2009-11-01,"Health Care"
63,5,2,12,7.93535703571429,"rf",2009-11-01,"Health Care"
64,10,1,7,6.9450423,"ada",2009-11-01,"Health Care"
64,8,1,9,7.85471799,"voted",2009-11-01,"Health Care"
64,6,1,11,8.45087163333333,"voted.prob",2009-11-01,"Health Care"
60,9,5,8,6.24371806153846,"PCA_ksvm",2009-11-01,"Health Care"
55,7,10,10,4.7274848305,"PCA_nnet",2009-11-01,"Health Care"
63,6,2,11,8.08616228461539,"PCA_rf",2009-11-01,"Health Care"
62,6,3,11,7.61376145,"PCA_ada",2009-11-01,"Health Care"
63,7,2,10,7.99842023333333,"PCA_voted",2009-11-01,"Health Care"
63,6,2,11,7.90039065384615,"PCA_voted.prob",2009-11-01,"Health Care"
66,0,0,17,11.2140732352941,"actual",2009-12-01,"Health Care"
58,10,8,7,8.007255342,"ksvm",2009-12-01,"Health Care"
50,2,16,15,7.52231727193548,"nnet",2009-12-01,"Health Care"
54,2,12,15,7.8985063862963,"rf",2009-12-01,"Health Care"
53,3,13,14,7.76874046777778,"ada",2009-12-01,"Health Care"
54,3,12,14,7.88345060115385,"voted",2009-12-01,"Health Care"
53,3,13,14,7.76874046777778,"voted.prob",2009-12-01,"Health Care"
59,13,7,4,7.66736695727273,"PCA_ksvm",2009-12-01,"Health Care"
46,3,20,14,6.51138142147059,"PCA_nnet",2009-12-01,"Health Care"
55,3,11,14,7.9312214412,"PCA_rf",2009-12-01,"Health Care"
54,6,12,11,7.57230313173913,"PCA_ada",2009-12-01,"Health Care"
55,8,11,9,7.5261801165,"PCA_voted",2009-12-01,"Health Care"
54,4,12,13,7.8218998772,"PCA_voted.prob",2009-12-01,"Health Care"
101,0,0,26,15.1614445807692,"actual",2008-12-01,"Information Technology"
96,17,5,9,12.0980665142857,"ksvm",2008-12-01,"Information Technology"
97,16,4,10,13.4073282214286,"nnet",2008-12-01,"Information Technology"
101,19,0,7,23.4247547142857,"rf",2008-12-01,"Information Technology"
100,16,1,10,19.5885489272727,"ada",2008-12-01,"Information Technology"
101,19,0,7,23.4247547142857,"voted",2008-12-01,"Information Technology"
100,17,1,9,18.09095675,"voted.prob",2008-12-01,"Information Technology"
97,19,4,7,12.3497479272727,"PCA_ksvm",2008-12-01,"Information Technology"
98,18,3,8,15.7940500454545,"PCA_nnet",2008-12-01,"Information Technology"
100,19,1,7,19.71227527125,"PCA_rf",2008-12-01,"Information Technology"
99,18,2,8,17.79808575,"PCA_ada",2008-12-01,"Information Technology"
101,19,0,7,22.5056392857143,"PCA_voted",2008-12-01,"Information Technology"
100,18,1,8,19.2906200222222,"PCA_voted.prob",2008-12-01,"Information Technology"
101,0,0,26,9.81234631538462,"actual",2009-01-04,"Information Technology"
99,22,2,4,4.92770753333333,"ksvm",2009-01-04,"Information Technology"
95,19,6,7,1.92675602307692,"nnet",2009-01-04,"Information Technology"
101,19,0,7,12.2941001428571,"rf",2009-01-04,"Information Technology"
100,19,1,7,8.666918325,"ada",2009-01-04,"Information Technology"
101,22,0,4,13.11771875,"voted",2009-01-04,"Information Technology"
101,21,0,5,12.6148748,"voted.prob",2009-01-04,"Information Technology"
98,23,3,3,3.85724586666667,"PCA_ksvm",2009-01-04,"Information Technology"
96,20,5,6,0.375234690909091,"PCA_nnet",2009-01-04,"Information Technology"
